"SMILES","Binary_Activity"
"O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1",1
"CC(=O)c1cccc(-c2cnc3ccc(NCC4CC4)nn23)c1",1
"N#Cc1c(-c2ccccc2)cc(-c2cc(Br)ccc2O)[nH]c1=O",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NCC4CC4)nn23)c1",1
"CCn1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CC4)nn23)c1",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCOCC4)nn23)c1",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCNCC4)nn23)c1",1
"CN1CCC(Nc2ccc3nnc(-c4cccc(C(F)(F)F)c4)n3n2)CC1",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCC4)nn23)c1",1
"CN(c1ccc2nnc(-c3cccc(C(F)(F)F)c3)n2n1)C1CCCCC1",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCCC4)nn23)c1",1
"CN1CCC(N(C)c2ccc3nnc(-c4cccc(C(F)(F)F)c4)n3n2)CC1",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCNC4)nn23)c1",1
"Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12",0
"O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1",0
"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",1
"Nc1nccc(-c2ccc3noc(-c4ccc(Cl)cc4)c3c2)n1",1
"NS(=O)(=O)c1ccc(CNC(=S)Nc2ccc(Nc3ccccc3)cc2)cc1",0
"Cc1cc(C)nc(SCC(=O)c2ccc(F)c(C)c2)n1",0
"CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21",1
"O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12",0
"COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)nc3)ccnc2cc1OCCCN1CCOCC1",0
"CC(=O)c1cccc(-c2cnc3ccc(NCC4CC4)nn23)c1",1
"O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12",1
"Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21",1
"NCC1CCn2c(c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc32)C1",1
"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",1
"O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12",1
"Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21",1
"CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21",1
"Cc1ccc(Nc2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)nn1",0
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCCC4)cn23)c1",1
"CCn1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21",1
"O=c1o[nH]c2c1c(=O)c1cc(F)c(Cl)cc1n2Cc1ccccc1",1
"CCCCn1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21",1
"CC(C)n1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21",1
"CCn1c2cc(Cl)c(F)cc2c(=O)c2c(=O)on(CCOCc3ccccc3)c21",0
"CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21",1
"C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1",0
"Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1",0
"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1",0
"O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl",0
"COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1",0
"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1",0
"CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1",0
"Oc1c2ccccc2c2c3c(cccc13)N=N2",0
"COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1",0
"Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1",0
"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1",0
"CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C",0
"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1",0
"CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1",0
"CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C",0
"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1",0
"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1",0
"Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)C(C)C2)c1",0
"Cc1ccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)cc1C",0
"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",1
"N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1",1
"FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCCC4)cn23)c1",1
"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",1
"N#Cc1c(-c2ccccc2)cc(-c2cc(Br)ccc2O)[nH]c1=O",1
"NCCCCNc1cncc(-c2cccc(/C=C/C(=O)O)c2)n1",1
"CN1CCCN(c2cccc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1",1
"CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1",1
"N[C@H]1CC[C@H](Nc2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1",1
"O=C(O)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1",1
"O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12",0
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)c(F)c4)cc32)c(=O)[nH]1",1
"CCc1ccc(-c2ccc3sc4c(=O)[nH]c(CN(C)C)nc4c3c2)cc1",1
"CCc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"CN(C)CCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccccc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc[nH]4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccoc4)cc32)c(=O)[nH]1",1
"CNCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CN(C)CC#Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"Cc1ccccc1-c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(-c3ccccc3)cc12",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccsc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4cncnc4)cc32)c(=O)[nH]1",1
"CN(C)CCCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CC(c1ccccc1)c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"N#Cc1ccc(-c2ccc3sc4c(=O)[nH]c(CN5CC[C@H](O)C5)nc4c3c2)cc1",1
"O=c1[nH]c(CN2CCCNC2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(/C=C/C3CC3)cc12",1
"C=Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CN2CCC(O)CC2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12",1
